what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322780695997
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322780702585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780707361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780709208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780722960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780724654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780744973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780754185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780755398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780770603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1322780788383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780789701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780796608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1322780823661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780825694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780832769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1322780865628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780867117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780881389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780919512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780961060
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322780966000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322780966380
